DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Aug2011,-0.76743,-0.2539,-0.18108,-0.08088,-0.14512,-0.15483,-0.20374,-0.36151,0.08756,0.11837,0.04134,-0.03289,-0.0338,-0.09126,0.01988,-0.05497,-0.23729,-0.12918,0.30972,0.50418,0.9986,0.86594,0.78557,0.83932,0.80089,0.75338,0.66445,0.54234,0.56687,0.55143,0.60581,0.62086,0.62562,0.6638,0.73453,0.74174,0.70404,0.69805,0.65988,0.70585,0.74467,0.62373,0.56018,0.51247,0.4049,0.33645,0.35876,0.42956
Sep2011,-1.18955,-1.54194,-1.04406,-0.74658,-0.47804,-0.46941,-0.46703,-0.4393,-0.54113,-0.06972,-0.0337,-0.1129,-0.17908,-0.17315,-0.22604,-0.1186,-0.18664,-0.35757,-0.24469,0.18796,0.38799,0.89681,0.7653,0.68274,0.73584,0.69997,0.65237,0.5688,0.44943,0.47452,0.46241,0.51648,0.53157,0.54662,0.58892,0.66179,0.66985,0.63254,0.627,0.59058,0.63628,0.67545,0.55854,0.49818,0.45285,0.34869,0.28181,0.30364
Oct2011,-0.80699,-1.1701,-1.3467,-1.22136,-1.10301,-0.91393,-0.86361,-0.79062,-0.71112,-0.75877,-0.2791,-0.22151,-0.32296,-0.38283,-0.37452,-0.41988,-0.31345,-0.35889,-0.50961,-0.38338,0.03277,0.2349,0.77673,0.63917,0.54618,0.60105,0.56706,0.52144,0.43892,0.31939,0.34585,0.34168,0.40378,0.41904,0.43244,0.4809,0.55952,0.56695,0.52923,0.5246,0.49015,0.53682,0.57774,0.46772,0.4115,0.36729,0.27071,0.20324
Nov2011,0.33483,-0.60243,-0.88781,-0.98722,-0.90515,-0.8648,-0.71275,-0.71442,-0.67497,-0.62341,-0.67967,-0.20729,-0.15854,-0.25197,-0.32103,-0.31254,-0.35906,-0.25761,-0.31404,-0.46658,-0.34542,0.06114,0.25917,0.78043,0.64742,0.56713,0.62423,0.58905,0.54218,0.46167,0.33951,0.36174,0.35885,0.42067,0.43804,0.45676,0.50142,0.57732,0.5849,0.54816,0.54328,0.50686,0.55513,0.5952,0.486,0.42818,0.38356,0.28878
Dec2011,-1.40268,-0.81897,-1.29921,-1.49763,-1.52663,-1.41391,-1.42165,-1.29034,-1.2241,-1.13646,-1.09649,-1.08387,-0.56925,-0.49692,-0.59235,-0.64237,-0.62568,-0.66091,-0.55422,-0.59707,-0.72816,-0.60179,-0.21417,-0.00803,0.52389,0.40045,0.32249,0.378,0.34413,0.29619,0.22455,0.10934,0.13556,0.1434,0.20165,0.21364,0.24624,0.2907,0.37223,0.38074,0.34404,0.33987,0.30448,0.35517,0.40015,0.29769,0.24298,0.19956
Jan2012,-0.89196,-1.44071,-1.04724,-1.51419,-1.71874,-1.69626,-1.5868,-1.56577,-1.44841,-1.37993,-1.27918,-1.24068,-1.21927,-0.73876,-0.65125,-0.75055,-0.79771,-0.77858,-0.80907,-0.69756,-0.73691,-0.86183,-0.73801,-0.36861,-0.16586,0.36906,0.25172,0.17339,0.22774,0.19484,0.14854,0.08573,-0.02427,0.00686,0.02493,0.08297,0.09866,0.13245,0.17642,0.2565,0.26661,0.23101,0.22812,0.19409,0.24718,0.29166,0.19611,0.14857
Feb2012,-0.89332,-1.16308,-1.53874,-1.21764,-1.62799,-1.81346,-1.78295,-1.68786,-1.66048,-1.53928,-1.45289,-1.36885,-1.3288,-1.31725,-0.88693,-0.78667,-0.88357,-0.92721,-0.90652,-0.92963,-0.82299,-0.8551,-0.96933,-0.85465,-0.51809,-0.31895,0.21433,0.1065,0.03041,0.08617,0.0546,0.01155,-0.04828,-0.15095,-0.11369,-0.09168,-0.03135,-0.00959,0.023,0.06325,0.13817,0.15314,0.12015,0.11751,0.087,0.14401,0.191,0.10101
Mar2012,-1.28254,-1.33848,-1.48024,-1.7437,-1.47376,-1.81366,-1.9765,-1.93615,-1.84939,-1.80258,-1.72178,-1.62876,-1.53867,-1.50883,-1.47909,-1.0779,-0.97321,-1.06102,-1.09473,-1.07107,-1.08598,-0.98576,-1.00646,-1.10105,-0.98311,-0.67512,-0.4803,0.03665,-0.06119,-0.13713,-0.08192,-0.10972,-0.14874,-0.20491,-0.29175,-0.2521,-0.22734,-0.16501,-0.13821,-0.10698,-0.06733,0.00606,0.02103,-0.01007,-0.01162,-0.03869,0.01399,0.0634
Apr2012,0.63565,-0.47221,-0.94162,-1.23572,-1.55924,-1.33366,-1.67941,-1.82685,-1.80766,-1.7293,-1.67358,-1.57343,-1.51028,-1.43918,-1.40657,-1.37613,-1.00553,-0.91274,-0.99044,-1.02626,-1.00387,-1.02102,-0.92251,-0.95028,-1.04431,-0.92687,-0.61709,-0.42813,0.08508,-0.01128,-0.0891,-0.033,-0.0623,-0.10375,-0.1613,-0.24905,-0.20971,-0.18365,-0.11933,-0.0987,-0.07281,-0.03375,0.0393,0.05357,0.02221,0.02069,-0.00598,0.04659
May2012,-0.52849,-0.05073,-0.69004,-1.05194,-1.27503,-1.55402,-1.35724,-1.6373,-1.73161,-1.72314,-1.66298,-1.61537,-1.54652,-1.49847,-1.44232,-1.41735,-1.38553,-1.05356,-0.95993,-1.03319,-1.07015,-1.04873,-1.06504,-0.97084,-0.99777,-1.08807,-0.97155,-0.67593,-0.49079,0.01866,-0.07425,-0.15145,-0.09638,-0.1242,-0.16475,-0.22013,-0.3073,-0.26907,-0.2373,-0.16971,-0.14814,-0.12953,-0.09189,-0.01717,-0.00133,-0.03284,-0.03402,-0.05935
