DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Dec1991,-1.03128,-1.29378,-0.83439,-0.65299,-0.81598,-0.89985,-1.03568,-1.16484,-1.3682,-0.80226,-0.65428,-0.93659,-1.12554,-1.30203,-1.05992,-1.15956,-1.17517,-1.20256,-1.28867,-1.32549,-1.07901,-1.20129,-1.43942,-1.375,-1.03436,-0.35262,-0.31528,-0.16776,-0.22186,-0.27931,-0.33588,-0.35965,-0.3809,-0.46243,-0.48388,-0.58203,-0.76203,-0.86571,-0.744,-0.81294,-0.83895,-0.88902,-0.8606,-0.85177,-0.87926,-0.96189,-0.98944,-0.99438
Jan1992,-0.99182,-1.23538,-1.44041,-1.14052,-0.9755,-1.09762,-1.15486,-1.26368,-1.36607,-1.51413,-0.98151,-0.84422,-1.10447,-1.29819,-1.46657,-1.23392,-1.33626,-1.35321,-1.38235,-1.4737,-1.50031,-1.23062,-1.35104,-1.60925,-1.52445,-1.17007,-0.48722,-0.45267,-0.3038,-0.35772,-0.41502,-0.4688,-0.48982,-0.49954,-0.58156,-0.60192,-0.6951,-0.87568,-0.9786,-0.86243,-0.92621,-0.9498,-0.99731,-0.9708,-0.95963,-0.98473,-1.06324,-1.08667
Feb1992,-0.34937,-0.93964,-1.22788,-1.38362,-1.16562,-1.04877,-1.14475,-1.18937,-1.26962,-1.36663,-1.47531,-1.05213,-0.91203,-1.14559,-1.33093,-1.48212,-1.26289,-1.35424,-1.36857,-1.39535,-1.47395,-1.50236,-1.2549,-1.36709,-1.59202,-1.52768,-1.19426,-0.54359,-0.5108,-0.36379,-0.4152,-0.47017,-0.52295,-0.53781,-0.5431,-0.61965,-0.63963,-0.73049,-0.905,-1.00392,-0.89564,-0.95312,-0.97585,-1.0215,-0.99655,-0.98662,-1.00959,-1.08372
Mar1992,-0.42856,-0.61155,-1.05197,-1.26287,-1.42694,-1.23715,-1.12447,-1.20957,-1.24876,-1.31876,-1.40423,-1.48818,-1.11131,-0.98477,-1.19975,-1.33573,-1.46018,-1.26087,-1.34388,-1.35647,-1.38002,-1.45304,-1.4696,-1.25463,-1.35116,-1.55832,-1.50639,-1.20664,-0.60154,-0.56894,-0.42841,-0.47567,-0.52719,-0.57726,-0.58631,-0.58857,-0.66043,-0.6789,-0.76463,-0.92982,-1.02473,-0.92334,-0.97775,-0.99851,-1.04175,-1.01799,-1.00793,-1.02748
Apr1992,-0.52062,-0.70069,-0.84038,-1.24663,-1.39234,-1.51922,-1.40173,-1.27235,-1.34813,-1.37925,-1.43668,-1.50155,-1.56716,-1.1983,-1.08835,-1.28139,-1.42382,-1.55421,-1.34855,-1.42257,-1.43349,-1.45398,-1.52541,-1.5357,-1.31701,-1.40537,-1.60191,-1.55056,-1.24937,-0.6605,-0.63027,-0.49195,-0.53862,-0.58881,-0.63739,-0.6438,-0.64209,-0.71033,-0.72745,-0.81321,-0.97241,-1.06458,-0.96624,-1.01705,-1.03593,-1.07666,-1.05368,-1.04343
May1992,-1.29109,-1.18234,-1.1495,-1.20562,-1.53741,-1.55897,-1.65763,-1.53475,-1.39771,-1.45768,-1.48079,-1.52749,-1.58745,-1.63023,-1.30376,-1.21675,-1.38267,-1.51505,-1.64194,-1.44972,-1.52253,-1.534,-1.55447,-1.62577,-1.634,-1.41317,-1.4952,-1.68575,-1.63259,-1.33421,-0.75569,-0.72839,-0.58872,-0.63387,-0.68247,-0.73097,-0.73593,-0.73174,-0.79535,-0.81076,-0.89116,-1.04548,-1.13584,-1.03904,-1.08637,-1.1042,-1.14359,-1.12111
Jun1992,2.33698,0.93947,0.35235,-0.02232,-0.283,-0.64467,-0.97983,-1.16926,-0.99491,-0.90987,-0.99082,-1.03156,-1.0815,-1.16071,-1.27496,-0.94705,-0.82814,-1.01284,-1.17397,-1.32741,-1.12014,-1.20594,-1.21991,-1.24177,-1.31248,-1.34247,-1.13713,-1.23383,-1.42399,-1.3814,-1.0952,-0.52156,-0.49217,-0.36235,-0.40931,-0.45781,-0.50352,-0.51732,-0.52106,-0.58799,-0.60698,-0.70099,-0.865,-0.95355,-0.8532,-0.90465,-0.92482,-0.96578
Jul1992,0.48803,2.29648,0.943,0.38659,0.0183,-0.24167,-0.59295,-0.9343,-1.12398,-0.95303,-0.87462,-0.9545,-0.99501,-1.04167,-1.11784,-1.23262,-0.91455,-0.79641,-0.9779,-1.13788,-1.29133,-1.08945,-1.17519,-1.18864,-1.21039,-1.27961,-1.31037,-1.11148,-1.20717,-1.39326,-1.35417,-1.07329,-0.50696,-0.47737,-0.34973,-0.3964,-0.44446,-0.48934,-0.5039,-0.50766,-0.57429,-0.59257,-0.68653,-0.84969,-0.93727,-0.83783,-0.88906,-0.90917
Aug1992,-0.49657,-0.0351,2.08885,0.75014,0.27408,-0.05456,-0.30247,-0.62603,-0.94687,-1.12646,-0.96399,-0.88812,-0.96532,-1.00398,-1.04772,-1.12122,-1.23287,-0.9257,-0.81077,-0.98705,-1.14367,-1.29663,-1.10131,-1.18621,-1.19892,-1.21961,-1.28755,-1.31772,-1.12098,-1.21623,-1.39733,-1.3585,-1.08355,-0.52152,-0.49229,-0.36544,-0.41165,-0.4594,-0.50385,-0.518,-0.52118,-0.58723,-0.60447,-0.69733,-0.85995,-0.9469,-0.84781,-0.89866
Sep1992,-0.34955,-0.56038,-0.31449,1.32724,0.42231,0.05864,-0.24922,-0.443,-0.71351,-0.98847,-1.1618,-1.01305,-0.94216,-1.01521,-1.05312,-1.09346,-1.16342,-1.26352,-0.95648,-0.84601,-1.02049,-1.16386,-1.31586,-1.12346,-1.20309,-1.2161,-1.23674,-1.30321,-1.33464,-1.14428,-1.24025,-1.41691,-1.37403,-1.0996,-0.54446,-0.51453,-0.3882,-0.43363,-0.48048,-0.5258,-0.53879,-0.54067,-0.60537,-0.6228,-0.71375,-0.87494,-0.9611,-0.86264
