DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.02037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.14843,-0.29175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.38436,-0.42724,-0.51384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.06894,-0.36512,-0.5251,-0.60744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.09551,-0.04952,-0.3103,-0.48772,-0.55049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.39999,-0.2488,-0.25053,-0.45337,-0.57581,-0.64053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.04593,-0.84448,-0.52501,-0.44192,-0.58826,-0.68975,-0.72336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.62014,-0.15798,-0.50144,-0.30381,-0.31192,-0.47487,-0.59152,-0.63182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.25373,1.24228,0.96657,0.58086,0.40696,0.22932,-0.03343,-0.1729,-0.26801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.538,1.01504,1.06639,0.88012,0.72636,0.58614,0.39416,0.17004,0.03461,-0.08745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.34171,-0.10319,0.41983,0.47914,0.33231,0.2165,0.21541,0.08031,-0.08247,-0.18605,-0.26563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.58909,-0.76441,-0.51351,-0.03773,0.0083,-0.12087,-0.24118,-0.18226,-0.24048,-0.38681,-0.47779,-0.50817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.42132,-0.29093,-0.53221,-0.34326,0.03001,0.0602,-0.05938,-0.14278,-0.10297,-0.14572,-0.28948,-0.35195,-0.40526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.57689,0.44503,-0.09736,-0.33519,-0.1903,0.12461,0.14868,0.04321,-0.02714,-0.01442,-0.08515,-0.20003,-0.23964,-0.30415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.08937,0.93393,0.76499,0.1822,-0.0355,0.11093,0.36556,0.37742,0.27499,0.20492,0.21827,0.12888,0.00832,-0.02368,-0.1021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.07829,1.23928,1.16709,0.98773,0.41577,0.20079,0.37188,0.58965,0.5981,0.49844,0.42372,0.42122,0.31824,0.19724,0.16607,0.07879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
