DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-1.15857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.72708,-1.23101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-1.47392,-1.50903,-1.7723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.49324,-1.27868,-1.56827,-1.69547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.00294,-0.35832,-0.96007,-1.31457,-1.5473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.92895,-0.57204,-0.7209,-1.16345,-1.45606,-1.62728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.33193,-1.30786,-0.96015,-0.97224,-1.34421,-1.6067,-1.7018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.19414,-0.6239,-1.0199,-0.83365,-0.8706,-1.24963,-1.53013,-1.65119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.01894,0.91774,0.45177,-0.18787,-0.18005,-0.38233,-0.8318,-1.13463,-1.33546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.61531,0.94823,0.94672,0.62043,0.25694,0.14658,-0.14163,-0.56285,-0.83125,-1.0748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.26783,-0.41233,0.12878,0.14372,-0.12118,-0.4408,-0.40924,-0.57056,-0.94765,-1.18933,-1.34828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.94314,-1.55121,-0.99358,-0.38862,-0.39611,-0.62628,-0.90772,-0.82579,-0.90863,-1.21621,-1.52571,-1.62419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.26617,-0.62441,-1.3203,-0.93451,-0.37511,-0.38776,-0.61102,-0.88303,-0.8187,-0.90507,-1.23352,-1.56808,-1.66772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.25693,0.19619,-0.46521,-1.08718,-0.83214,-0.35111,-0.34388,-0.55302,-0.7939,-0.74894,-0.83991,-1.11257,-1.33873,-1.50578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.3428,0.9705,0.72436,0.0818,-0.48614,-0.26355,0.14904,0.16161,-0.05916,-0.33001,-0.27728,-0.43442,-0.74025,-0.96757,-1.20062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.29924,1.49513,1.41184,1.17504,0.571,0.10999,0.34482,0.62295,0.63339,0.41589,0.11457,0.14549,-0.04101,-0.34411,-0.53221,-0.79132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.81239,1.23192,1.46446,1.44845,1.30204,0.74735,0.32652,0.50973,0.73007,0.73927,0.54032,0.26981,0.27164,0.11141,-0.16375,-0.33752,-0.5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.33611,0.77819,1.173,1.40593,1.38066,1.23949,0.73641,0.32492,0.50986,0.71199,0.72284,0.53415,0.26995,0.27852,0.13777,-0.1324,-0.29941,-0.54462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.39744,0.35172,0.80841,1.17623,1.41676,1.40031,1.23795,0.74315,0.32881,0.51238,0.7198,0.72447,0.53287,0.27287,0.29144,0.16037,-0.10282,-0.26259,-0.5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.98718,0.78628,0.61418,0.95334,1.2344,1.44359,1.4453,1.29938,0.83726,0.4481,0.62579,0.81309,0.8155,0.633,0.38885,0.40032,0.27681,0.01986,-0.13258,-0.38896,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.69981,1.71174,1.62903,1.52309,1.51929,1.60171,1.7538,1.77754,1.62701,1.22669,0.91309,1.08662,1.2045,1.20625,1.06404,0.8439,0.80394,0.66479,0.40966,0.26864,0.01712,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.33897,0.94114,1.15538,1.122,1.11628,1.23127,1.43712,1.5928,1.57921,1.4302,1.06634,0.7694,0.91575,1.05135,1.0539,0.91588,0.7003,0.68489,0.5563,0.32083,0.17899,-0.07568,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.98386,1.61024,1.94769,1.99552,1.95232,1.91428,1.8832,1.96222,2.01789,2.00918,1.88606,1.59385,1.39833,1.62219,1.64576,1.64061,1.5481,1.38233,1.28908,1.13182,0.89306,0.77814,0.53871,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.2715,1.43415,1.19146,1.54963,1.63409,1.63064,1.64258,1.62978,1.73118,1.8177,1.79951,1.6658,1.40932,1.21794,1.36355,1.43217,1.43338,1.33857,1.17474,1.10922,0.96669,0.74396,0.6424,0.41737,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.06992,-0.41102,1.1626,0.96376,1.4014,1.48712,1.47185,1.47438,1.49735,1.58435,1.67668,1.65477,1.54429,1.31552,1.1385,1.25696,1.33878,1.3406,1.25075,1.08731,1.03902,0.90657,0.68661,0.58434,0.35819,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-1.18845,-0.88876,-0.97228,0.64585,0.41738,1.05455,1.16301,1.14442,1.12837,1.22111,1.37482,1.49694,1.49042,1.4007,1.1659,0.94596,1.05657,1.17331,1.17529,1.06725,0.87573,0.84107,0.71673,0.48464,0.37184,0.14144,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.58092,-0.51331,-0.55636,-0.71787,0.75662,0.55569,1.12788,1.23785,1.2216,1.20509,1.27869,1.41973,1.52848,1.52626,1.4475,1.20909,0.99291,1.09455,1.20461,1.20441,1.10048,0.92077,0.87897,0.74995,0.52836,0.42863,0.20306,,,,,,,,,,,,,,,,,,,,,
Apr1952,1.9454,1.69368,1.12485,0.74034,0.43208,1.48683,1.39277,1.65981,1.72904,1.73559,1.75363,1.70054,1.79696,1.85278,1.82419,1.75081,1.54938,1.37749,1.49828,1.57785,1.57853,1.50547,1.34827,1.26554,1.11972,0.90067,0.80944,0.59738,,,,,,,,,,,,,,,,,,,,
May1952,0.91842,1.78841,1.6651,1.26426,0.98147,0.67109,1.58106,1.53514,1.81044,1.87061,1.88255,1.90262,1.83442,1.90576,1.94186,1.919,1.82131,1.62762,1.47469,1.5965,1.66636,1.66789,1.60764,1.4538,1.36369,1.22163,1.01116,0.91682,0.7098,,,,,,,,,,,,,,,,,,,
