DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.05925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.48421,-0.52971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.3961,-0.69263,-0.75446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.14489,-0.36171,-0.72976,-0.83095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.30783,0.0326,-0.19162,-0.53971,-0.69936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.19088,0.04263,-0.13507,-0.31194,-0.6069,-0.74067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.17237,-0.74785,-0.3351,-0.39045,-0.52189,-0.79685,-0.87019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.06313,-0.69621,-0.67796,-0.35859,-0.38667,-0.50597,-0.77282,-0.84095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,1.03966,0.83218,0.40286,0.08871,0.15656,0.01803,-0.1483,-0.39914,-0.52655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.84958,1.13979,1.05306,0.7833,0.61829,0.5728,0.36593,0.19812,-0.01872,-0.1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.69488,0.00144,0.43376,0.38926,0.17631,0.0646,0.12256,0.0187,-0.09113,-0.2972,-0.40701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.07816,-1.37005,-0.74798,-0.2475,-0.29871,-0.49131,-0.59965,-0.44079,-0.47403,-0.56432,-0.7937,-0.79809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.25464,-0.74203,-1.14386,-0.71093,-0.26089,-0.31428,-0.50601,-0.58379,-0.41994,-0.44409,-0.5411,-0.76703,-0.78666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.34716,0.1807,-0.60295,-0.95297,-0.65459,-0.24572,-0.28428,-0.46016,-0.53759,-0.4133,-0.44936,-0.52161,-0.6835,-0.73284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.52053,1.09398,0.8021,-0.01327,-0.34289,-0.03938,0.28411,0.24762,0.06855,-0.03252,0.06541,-0.01808,-0.11479,-0.24716,-0.33935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,1.5234,1.72556,1.57376,1.29697,0.53925,0.25596,0.56988,0.78546,0.74663,0.5843,0.46106,0.51155,0.40274,0.29901,0.18291,0.06591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.96483,1.45639,1.70382,1.64194,1.44055,0.75163,0.46165,0.73,0.90241,0.86493,0.71409,0.59883,0.62066,0.52243,0.43076,0.32284,0.20753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.4332,0.88226,1.37985,1.65232,1.59494,1.4031,0.75765,0.47743,0.7452,0.90619,0.87106,0.72831,0.6172,0.64066,0.55042,0.45209,0.34367,0.23127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.45616,0.45205,0.91931,1.39957,1.68402,1.62519,1.40349,0.77728,0.48719,0.7591,0.9194,0.88038,0.7365,0.62895,0.65288,0.56662,0.46864,0.36241,0.25289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,1.08091,0.8995,0.72988,1.06089,1.42728,1.67276,1.63286,1.42836,0.86654,0.59208,0.85043,0.99,0.95308,0.8205,0.72039,0.73247,0.65134,0.5562,0.45425,0.34867,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.832,1.81598,1.75308,1.65176,1.6538,1.78261,1.96484,1.92081,1.73442,1.28317,1.02203,1.25704,1.33977,1.30852,1.21283,1.12194,1.08013,0.97838,0.88428,0.78297,0.66826,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,-0.37289,1.03715,1.24196,1.23744,1.22073,1.35249,1.61611,1.80136,1.72316,1.54242,1.1296,0.89897,1.12053,1.21009,1.17639,1.07319,0.98229,0.96338,0.8756,0.78488,0.68765,0.56703,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,2.01106,1.86257,2.14116,2.11907,2.0901,2.09325,2.05285,2.12254,2.19475,2.12145,1.9725,1.72633,1.56675,1.81639,1.82323,1.80322,1.76105,1.69503,1.60005,1.46683,1.36888,1.28084,1.16413,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.37912,1.45473,1.29816,1.63164,1.68966,1.69401,1.72589,1.70247,1.82208,1.94965,1.91978,1.75724,1.48411,1.33496,1.50643,1.54693,1.52714,1.4694,1.4075,1.35274,1.25378,1.16671,1.09025,0.98809,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.26821,-0.29191,1.25469,1.15162,1.5081,1.57124,1.58064,1.57858,1.57863,1.68931,1.8029,1.77376,1.64814,1.41183,1.28679,1.42548,1.47379,1.45461,1.39799,1.34121,1.30852,1.22802,1.14766,1.08055,0.97927,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.87473,-0.4828,-0.71214,0.9165,0.8083,1.27602,1.34665,1.34483,1.3437,1.39242,1.55537,1.69206,1.66043,1.55369,1.29288,1.14548,1.28941,1.35611,1.33425,1.26895,1.19564,1.17322,1.09147,1.01022,0.93859,0.83979,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.93062,0.01896,-0.0184,-0.37613,1.09013,1.00389,1.40264,1.46725,1.47224,1.47092,1.48526,1.63448,1.7568,1.7273,1.62689,1.36966,1.22498,1.3617,1.42645,1.40377,1.34067,1.27503,1.24386,1.15651,1.07536,1.00689,0.90742,,,,,,,,,,,,,,,,,,,,,
