"poblacion","month","event","mean","sd","se","variable"
1,1,"2005",0.19153515625,NA,NA,"myevisp"
1,1,"2012",0.153280454545455,NA,NA,"myevisp"
1,1,"ref",0.171936942104285,0.0206485803910674,0.00533144053182861,"myevisp"
1,2,"2005",0.17809453125,NA,NA,"myevisp"
1,2,"2012",0.109184186046512,NA,NA,"myevisp"
1,2,"ref",0.168969782684367,0.0383588032908832,0.0095897008227208,"myevisp"
1,3,"2005",0.17252109375,NA,NA,"myevisp"
1,3,"2012",0.169579279279279,NA,NA,"myevisp"
1,3,"ref",0.17769161680227,0.0243806006844144,0.0060951501711036,"myevisp"
1,4,"2005",0.221675373134328,NA,NA,"myevisp"
1,4,"2012",0.184334196891192,NA,NA,"myevisp"
1,4,"ref",0.222506525744545,0.0195792220720175,0.00489480551800438,"myevisp"
1,5,"2005",0.271751226158038,NA,NA,"myevisp"
1,5,"2012",0.281077016129032,NA,NA,"myevisp"
1,5,"ref",0.293294397255007,0.0214401568999923,0.00536003922499807,"myevisp"
1,6,"2005",0.258978723404255,NA,NA,"myevisp"
1,6,"2012",0.312673357664234,NA,NA,"myevisp"
1,6,"ref",0.318011216828231,0.0250967394918616,0.00627418487296541,"myevisp"
1,7,"2005",0.2395229390681,NA,NA,"myevisp"
1,7,"2012",0.269002996254682,NA,NA,"myevisp"
1,7,"ref",0.28331408054369,0.0233385663535615,0.00583464158839037,"myevisp"
1,8,"2005",0.216388070175439,NA,NA,"myevisp"
1,8,"2012",0.23724170212766,NA,NA,"myevisp"
1,8,"ref",0.254307852974661,0.0187678848238304,0.00469197120595759,"myevisp"
1,9,"2005",0.207144239631336,NA,NA,"myevisp"
1,9,"2012",0.237627748691099,NA,NA,"myevisp"
1,9,"ref",0.237864259614939,0.0167751379956314,0.00419378449890786,"myevisp"
1,10,"2005",0.195717012448133,NA,NA,"myevisp"
1,10,"2012",0.253226691729323,NA,NA,"myevisp"
1,10,"ref",0.224499511569477,0.0163129318474767,0.00407823296186917,"myevisp"
1,11,"2005",0.170785546875,NA,NA,"myevisp"
1,11,"2012",0.191267479674797,NA,NA,"myevisp"
1,11,"ref",0.196988206490557,0.0161006801772612,0.0040251700443153,"myevisp"
1,12,"2005",0.1711171875,NA,NA,"myevisp"
1,12,"2012",0.176238671875,NA,NA,"myevisp"
1,12,"ref",0.185779928156745,0.0162343391324904,0.0040585847831226,"myevisp"
2,1,"2005",0.160707589285714,NA,NA,"myevisp"
2,1,"2012",0.131948660714286,NA,NA,"myevisp"
2,1,"ref",0.142611125596172,0.0131872895782988,0.00340494352789105,"myevisp"
2,2,"2005",0.162454910714286,NA,NA,"myevisp"
2,2,"2012",0.14408829787234,NA,NA,"myevisp"
2,2,"ref",0.160981931641274,0.0198372238639577,0.00495930596598943,"myevisp"
2,3,"2005",0.160189237668161,NA,NA,"myevisp"
2,3,"2012",0.165735,NA,NA,"myevisp"
2,3,"ref",0.182348320091007,0.0197891224560687,0.00494728061401718,"myevisp"
2,4,"2005",0.217792,NA,NA,"myevisp"
2,4,"2012",0.174488,NA,NA,"myevisp"
2,4,"ref",0.2367150675009,0.0297762680653985,0.00744406701634963,"myevisp"
2,5,"2005",0.261808813559322,NA,NA,"myevisp"
2,5,"2012",0.285961504424779,NA,NA,"myevisp"
2,5,"ref",0.315385729191067,0.0298770915943511,0.00746927289858776,"myevisp"
2,6,"2005",0.249110897435897,NA,NA,"myevisp"
2,6,"2012",0.31937566539924,NA,NA,"myevisp"
2,6,"ref",0.321184247562652,0.0304537327829913,0.00761343319574783,"myevisp"
2,7,"2005",0.225349748743719,NA,NA,"myevisp"
2,7,"2012",0.269025531914894,NA,NA,"myevisp"
2,7,"ref",0.275400860349518,0.0258723483462415,0.00646808708656038,"myevisp"
2,8,"2005",0.200409125475285,NA,NA,"myevisp"
2,8,"2012",0.228001069518717,NA,NA,"myevisp"
2,8,"ref",0.244638923730767,0.0209480251172124,0.00523700627930309,"myevisp"
2,9,"2005",0.206633333333333,NA,NA,"myevisp"
2,9,"2012",0.229547715736041,NA,NA,"myevisp"
2,9,"ref",0.226810720046237,0.0147193815816438,0.00367984539541096,"myevisp"
2,10,"2005",0.200320754716981,NA,NA,"myevisp"
2,10,"2012",0.232323636363636,NA,NA,"myevisp"
2,10,"ref",0.215929596210151,0.0220616513739476,0.0055154128434869,"myevisp"
2,11,"2005",0.156612053571429,NA,NA,"myevisp"
2,11,"2012",0.187998843930636,NA,NA,"myevisp"
2,11,"ref",0.180271978766622,0.0157769556182257,0.00394423890455643,"myevisp"
2,12,"2005",0.136496875,NA,NA,"myevisp"
2,12,"2012",0.160660714285714,NA,NA,"myevisp"
2,12,"ref",0.150953130382425,0.0124207665294236,0.0031051916323559,"myevisp"
3,1,"2005",0.226690062111801,NA,NA,"myevisp"
3,1,"2012",0.190841614906832,NA,NA,"myevisp"
3,1,"ref",0.205194272150787,0.013870579032956,0.00358136810645948,"myevisp"
3,2,"2005",0.207811180124224,NA,NA,"myevisp"
3,2,"2012",0.198278881987578,NA,NA,"myevisp"
3,2,"ref",0.202247614691987,0.0349574730960319,0.00873936827400798,"myevisp"
3,3,"2005",0.159679850746269,NA,NA,"myevisp"
3,3,"2012",0.21862049689441,NA,NA,"myevisp"
3,3,"ref",0.210077657532132,0.0234750973170006,0.00586877432925015,"myevisp"
3,4,"2005",0.254836486486486,NA,NA,"myevisp"
3,4,"2012",0.211637903225806,NA,NA,"myevisp"
3,4,"ref",0.247926167382081,0.0275667747418337,0.00689169368545842,"myevisp"
3,5,"2005",0.274066666666667,NA,NA,"myevisp"
3,5,"2012",0.309987741935484,NA,NA,"myevisp"
3,5,"ref",0.300039430344444,0.0208070441608762,0.00520176104021905,"myevisp"
3,6,"2005",0.27784328358209,NA,NA,"myevisp"
3,6,"2012",0.323525842696629,NA,NA,"myevisp"
3,6,"ref",0.325836178515529,0.0226536928638294,0.00566342321595735,"myevisp"
3,7,"2005",0.248198,NA,NA,"myevisp"
3,7,"2012",0.294985625,NA,NA,"myevisp"
3,7,"ref",0.304305335357383,0.0199090802438888,0.00497727006097221,"myevisp"
3,8,"2005",0.239446927374302,NA,NA,"myevisp"
3,8,"2012",0.253175974025974,NA,NA,"myevisp"
3,8,"ref",0.278003947982011,0.0198019757013836,0.00495049392534589,"myevisp"
3,9,"2005",0.256946753246753,NA,NA,"myevisp"
3,9,"2012",0.26372972972973,NA,NA,"myevisp"
3,9,"ref",0.275521852097832,0.0156975621902336,0.0039243905475584,"myevisp"
3,10,"2005",0.241709027777778,NA,NA,"myevisp"
3,10,"2012",0.297427810650888,NA,NA,"myevisp"
3,10,"ref",0.279185012066355,0.0213684867817088,0.00534212169542721,"myevisp"
3,11,"2005",0.20644099378882,NA,NA,"myevisp"
3,11,"2012",0.22941568627451,NA,NA,"myevisp"
3,11,"ref",0.253623849638342,0.0227991802722096,0.0056997950680524,"myevisp"
3,12,"2005",0.200181366459627,NA,NA,"myevisp"
3,12,"2012",0.216449068322981,NA,NA,"myevisp"
3,12,"ref",0.226375851247871,0.027175463161604,0.006793865790401,"myevisp"
4,1,"2005",0.127835042735043,NA,NA,"myevisp"
4,1,"2012",0.172984615384615,NA,NA,"myevisp"
4,1,"ref",0.120374350774493,0.0193973844272535,0.00500838312311574,"myevisp"
4,2,"2005",0.130300854700855,NA,NA,"myevisp"
4,2,"2012",0.124288888888889,NA,NA,"myevisp"
4,2,"ref",0.122993420948369,0.0349461979567026,0.00873654948917566,"myevisp"
4,3,"2005",0.111429914529915,NA,NA,"myevisp"
4,3,"2012",0.158884615384615,NA,NA,"myevisp"
4,3,"ref",0.144648945128384,0.0314319868135896,0.00785799670339741,"myevisp"
4,4,"2005",0.187995726495727,NA,NA,"myevisp"
4,4,"2012",0.205561538461538,NA,NA,"myevisp"
4,4,"ref",0.19776397689448,0.0244752192737035,0.00611880481842587,"myevisp"
4,5,"2005",0.231293162393162,NA,NA,"myevisp"
4,5,"2012",0.258380341880342,NA,NA,"myevisp"
4,5,"ref",0.247339672305609,0.0211301251083847,0.00528253127709618,"myevisp"
4,6,"2005",0.227957264957265,NA,NA,"myevisp"
4,6,"2012",0.289128205128205,NA,NA,"myevisp"
4,6,"ref",0.281630971112338,0.0167739165000414,0.00419347912501034,"myevisp"
4,7,"2005",0.183526495726496,NA,NA,"myevisp"
4,7,"2012",0.250740170940171,NA,NA,"myevisp"
4,7,"ref",0.253897433605148,0.0191210427195962,0.00478026067989904,"myevisp"
