"poblacion","month","mean_2005","mean_ref","sd_2005","sd_ref","se_2005","se_ref","iv","std_a"
1,1,0.19153515625,0.171936942104285,NA,0.0206485803910674,NA,0.00533144053182861,"myevisp",0.949131309491513
1,2,0.17809453125,0.168969782684367,NA,0.0383588032908832,NA,0.0095897008227208,"myevisp",0.237878864375349
1,3,0.17252109375,0.17769161680227,NA,0.0243806006844144,NA,0.0060951501711036,"myevisp",-0.212075293763186
1,4,0.221675373134328,0.222506525744545,NA,0.0195792220720175,NA,0.00489480551800438,"myevisp",-0.0424507473871727
1,5,0.271751226158038,0.293294397255007,NA,0.0214401568999923,NA,0.00536003922499807,"myevisp",-1.00480473148854
1,6,0.258978723404255,0.318011216828231,NA,0.0250967394918616,NA,0.00627418487296541,"myevisp",-2.35219772046958
1,7,0.2395229390681,0.28331408054369,NA,0.0233385663535615,NA,0.00583464158839037,"myevisp",-1.87634239448077
1,8,0.216388070175439,0.254307852974661,NA,0.0187678848238304,NA,0.00469197120595759,"myevisp",-2.02046118436713
1,9,0.207144239631336,0.237864259614939,NA,0.0167751379956314,NA,0.00419378449890786,"myevisp",-1.83128269893236
1,10,0.195717012448133,0.224499511569477,NA,0.0163129318474767,NA,0.00407823296186917,"myevisp",-1.76439768095985
1,11,0.170785546875,0.196988206490557,NA,0.0161006801772612,NA,0.0040251700443153,"myevisp",-1.62742563215204
1,12,0.1711171875,0.185779928156745,NA,0.0162343391324904,NA,0.0040585847831226,"myevisp",-0.903192950269215
2,1,0.160707589285714,0.142611125596172,NA,0.0131872895782988,NA,0.00340494352789105,"myevisp",1.37226558817073
2,2,0.162454910714286,0.160981931641274,NA,0.0198372238639577,NA,0.00495930596598943,"myevisp",0.0742532868063499
2,3,0.160189237668161,0.182348320091007,NA,0.0197891224560687,NA,0.00494728061401718,"myevisp",-1.11976074088367
2,4,0.217792,0.2367150675009,NA,0.0297762680653985,NA,0.00744406701634963,"myevisp",-0.635508367245323
2,5,0.261808813559322,0.315385729191067,NA,0.0298770915943511,NA,0.00746927289858776,"myevisp",-1.79324401314466
2,6,0.249110897435897,0.321184247562652,NA,0.0304537327829913,NA,0.00761343319574783,"myevisp",-2.36665076955715
2,7,0.225349748743719,0.275400860349518,NA,0.0258723483462415,NA,0.00646808708656038,"myevisp",-1.93454072803832
2,8,0.200409125475285,0.244638923730767,NA,0.0209480251172124,NA,0.00523700627930309,"myevisp",-2.11140658883113
2,9,0.206633333333333,0.226810720046237,NA,0.0147193815816438,NA,0.00367984539541096,"myevisp",-1.37080397032894
2,10,0.200320754716981,0.215929596210151,NA,0.0220616513739476,NA,0.0055154128434869,"myevisp",-0.707510114659966
2,11,0.156612053571429,0.180271978766622,NA,0.0157769556182257,NA,0.00394423890455643,"myevisp",-1.49965086850221
2,12,0.136496875,0.150953130382425,NA,0.0124207665294236,NA,0.0031051916323559,"myevisp",-1.16387787727748
3,1,0.226690062111801,0.205194272150787,NA,0.013870579032956,NA,0.00358136810645948,"myevisp",1.54973991424161
3,2,0.207811180124224,0.202247614691987,NA,0.0349574730960319,NA,0.00873936827400798,"myevisp",0.159152391162618
3,3,0.159679850746269,0.210077657532132,NA,0.0234750973170006,NA,0.00586877432925015,"myevisp",-2.14686252863223
3,4,0.254836486486486,0.247926167382081,NA,0.0275667747418337,NA,0.00689169368545842,"myevisp",0.250675647373374
