"month","mean_2012","mean_ref","sd_2012","sd_ref","se_2012","se_ref","iv","std_a"
1,0.192954467653137,0.190009679674355,0.0450436371725457,0.0538389948687789,0.0159253306470067,0.00491480532717252,"myevisp",0.0546961915979165
2,0.176948773346213,0.187060811702577,0.0511494527314024,0.0515925819500759,0.0180840624401777,0.00456018306947767,"myevisp",-0.195997912377195
3,0.196509887441746,0.194217532355919,0.0267919801570039,0.0405691466517408,0.00947239542521642,0.00358583983804968,"myevisp",0.0565048879510777
4,0.200445096207291,0.230926369789025,0.0216185712562935,0.0319121723395411,0.00764331916744485,0.00282066418296041,"myevisp",-0.955161349011829
5,0.28968052438191,0.292584496536563,0.0194715992639072,0.0348764927718507,0.00688424994002789,0.0030826755678724,"myevisp",-0.0832644547618218
6,0.315758498599825,0.320229085734599,0.0193379689646629,0.0293619816861021,0.00683700449464406,0.00259525704491475,"myevisp",-0.152257677379122
7,0.28060013341716,0.292623582697468,0.0243850583950401,0.0343486365829079,0.00862142007538138,0.00303601923153581,"myevisp",-0.350041529342433
8,0.243019277088325,0.266284051724069,0.0267461948459822,0.0360430827755671,0.00945620787326536,0.00318578853068394,"myevisp",-0.645471276156056
9,0.238611497318259,0.253956955161057,0.0354854493621493,0.036833256035414,0.0125460009387138,0.00325563063947769,"myevisp",-0.416619639275012
10,0.270817759342392,0.24856454399964,0.0411954004142198,0.0416463067309215,0.014564773493295,0.0036810482376012,"myevisp",0.534338266452554
11,0.222995212060901,0.22723131898549,0.0479812533352685,0.0483672270750918,0.016963934801599,0.00427509928149838,"myevisp",-0.0875821745582504
12,0.198220566180409,0.206126491789894,0.0483407334304855,0.0518162205920463,0.0170910302081138,0.00457995011951175,"myevisp",-0.152576268958873
1,0.192954467653137,0.190009679674355,0.0450436371725457,0.0538389948687789,0.0159253306470067,0.00491480532717252,"myndvisp",0.0546961915979165
2,0.176948773346213,0.187060811702577,0.0511494527314024,0.0515925819500759,0.0180840624401777,0.00456018306947767,"myndvisp",-0.195997912377195
3,0.196509887441746,0.194217532355919,0.0267919801570039,0.0405691466517408,0.00947239542521642,0.00358583983804968,"myndvisp",0.0565048879510777
4,0.200445096207291,0.230926369789025,0.0216185712562935,0.0319121723395411,0.00764331916744485,0.00282066418296041,"myndvisp",-0.955161349011829
5,0.28968052438191,0.292584496536563,0.0194715992639072,0.0348764927718507,0.00688424994002789,0.0030826755678724,"myndvisp",-0.0832644547618218
6,0.315758498599825,0.320229085734599,0.0193379689646629,0.0293619816861021,0.00683700449464406,0.00259525704491475,"myndvisp",-0.152257677379122
7,0.28060013341716,0.292623582697468,0.0243850583950401,0.0343486365829079,0.00862142007538138,0.00303601923153581,"myndvisp",-0.350041529342433
8,0.243019277088325,0.266284051724069,0.0267461948459822,0.0360430827755671,0.00945620787326536,0.00318578853068394,"myndvisp",-0.645471276156056
9,0.238611497318259,0.253956955161057,0.0354854493621493,0.036833256035414,0.0125460009387138,0.00325563063947769,"myndvisp",-0.416619639275012
10,0.270817759342392,0.24856454399964,0.0411954004142198,0.0416463067309215,0.014564773493295,0.0036810482376012,"myndvisp",0.534338266452554
11,0.222995212060901,0.22723131898549,0.0479812533352685,0.0483672270750918,0.016963934801599,0.00427509928149838,"myndvisp",-0.0875821745582504
12,0.198220566180409,0.206126491789894,0.0483407334304855,0.0518162205920463,0.0170910302081138,0.00457995011951175,"myndvisp",-0.152576268958873
