"poblacion","month","mean_2012","mean_ref","sd_2012","sd_ref","se_2012","se_ref","iv","std_a"
1,1,0.153280454545455,0.171936942104285,NA,0.0206485803910674,NA,0.00533144053182861,"myevisp",-0.903523981091779
1,2,0.109184186046512,0.168969782684367,NA,0.0383588032908832,NA,0.0095897008227208,"myevisp",-1.5585886813123
1,3,0.169579279279279,0.17769161680227,NA,0.0243806006844144,NA,0.0060951501711036,"myevisp",-0.332737393471062
1,4,0.184334196891192,0.222506525744545,NA,0.0195792220720175,NA,0.00489480551800438,"myevisp",-1.94963460309839
1,5,0.281077016129032,0.293294397255007,NA,0.0214401568999923,NA,0.00536003922499807,"myevisp",-0.569836367474494
1,6,0.312673357664234,0.318011216828231,NA,0.0250967394918616,NA,0.00627418487296541,"myevisp",-0.212691340471881
1,7,0.269002996254682,0.28331408054369,NA,0.0233385663535615,NA,0.00583464158839037,"myevisp",-0.613194661240398
1,8,0.23724170212766,0.254307852974661,NA,0.0187678848238304,NA,0.00469197120595759,"myevisp",-0.909327343341942
1,9,0.237627748691099,0.237864259614939,NA,0.0167751379956314,NA,0.00419378449890786,"myevisp",-0.0140988958720477
1,10,0.253226691729323,0.224499511569477,NA,0.0163129318474767,NA,0.00407823296186917,"myevisp",1.7610065700293
1,11,0.191267479674797,0.196988206490557,NA,0.0161006801772612,NA,0.0040251700443153,"myevisp",-0.35530963616305
1,12,0.176238671875,0.185779928156745,NA,0.0162343391324904,NA,0.0040585847831226,"myevisp",-0.587720645963944
2,1,0.131948660714286,0.142611125596172,NA,0.0131872895782988,NA,0.00340494352789105,"myevisp",-0.808541043902837
2,2,0.14408829787234,0.160981931641274,NA,0.0198372238639577,NA,0.00495930596598943,"myevisp",-0.851612800500132
2,3,0.165735,0.182348320091007,NA,0.0197891224560687,NA,0.00494728061401718,"myevisp",-0.839517776894235
2,4,0.174488,0.2367150675009,NA,0.0297762680653985,NA,0.00744406701634963,"myevisp",-2.08982090583781
2,5,0.285961504424779,0.315385729191067,NA,0.0298770915943511,NA,0.00746927289858776,"myevisp",-0.984842338932724
2,6,0.31937566539924,0.321184247562652,NA,0.0304537327829913,NA,0.00761343319574783,"myevisp",-0.0593878647422258
2,7,0.269025531914894,0.275400860349518,NA,0.0258723483462415,NA,0.00646808708656038,"myevisp",-0.246414757149413
2,8,0.228001069518717,0.244638923730767,NA,0.0209480251172124,NA,0.00523700627930309,"myevisp",-0.79424452276315
2,9,0.229547715736041,0.226810720046237,NA,0.0147193815816438,NA,0.00367984539541096,"myevisp",0.185945019131538
2,10,0.232323636363636,0.215929596210151,NA,0.0220616513739476,NA,0.0055154128434869,"myevisp",0.743101224636564
2,11,0.187998843930636,0.180271978766622,NA,0.0157769556182257,NA,0.00394423890455643,"myevisp",0.489756411248825
