"month","mean_2005","mean_ref","sd_2005","sd_ref","se_2005","se_ref","iv","std_a"
1,0.209796247366625,0.190009679674355,0.0621553178387244,0.0538389948687789,0.0219752233652836,0.00491480532717252,"myevisp",0.367513690411492
2,0.187328455056748,0.187060811702577,0.0387122853775638,0.0515925819500759,0.0136868597528521,0.00456018306947767,"myevisp",0.00518763248619299
3,0.169711856649605,0.194217532355919,0.0457696408111523,0.0405691466517408,0.0161820116950192,0.00358583983804968,"myevisp",-0.604047107933486
4,0.219042536173536,0.230926369789025,0.0233830889082048,0.0319121723395411,0.00826717036603976,0.00282066418296041,"myevisp",-0.372391872575954
5,0.271980989440373,0.292584496536563,0.0304117932985682,0.0348764927718507,0.0107521926347306,0.0030826755678724,"myevisp",-0.590756279049334
6,0.272514637628175,0.320229085734599,0.0361021754466712,0.0293619816861021,0.0127640465369638,0.00259525704491475,"myevisp",-1.62504181824377
7,0.244432025815595,0.292623582697468,0.0458883701545908,0.0343486365829079,0.0162239888569548,0.00303601923153581,"myevisp",-1.4030122204575
8,0.231591892694393,0.266284051724069,0.0372305665869263,0.0360430827755671,0.0131629930505164,0.00318578853068394,"myevisp",-0.962519195311262
9,0.227479421466894,0.253956955161057,0.0385155590629044,0.036833256035414,0.0136173064972853,0.00325563063947769,"myevisp",-0.718848577185418
10,0.219605437473143,0.24856454399964,0.0453518394549758,0.0416463067309215,0.0160342966089485,0.0036810482376012,"myevisp",-0.695358335460622
11,0.195211221170283,0.22723131898549,0.0574173092388866,0.0483672270750918,0.0203000843601509,0.00427509928149838,"myevisp",-0.662020540592382
12,0.191964469037565,0.206126491789894,0.0598481412386044,0.0518162205920463,0.0211595132556137,0.00457995011951175,"myevisp",-0.273312537860059
1,0.209796247366625,0.190009679674355,0.0621553178387244,0.0538389948687789,0.0219752233652836,0.00491480532717252,"myndvisp",0.367513690411492
2,0.187328455056748,0.187060811702577,0.0387122853775638,0.0515925819500759,0.0136868597528521,0.00456018306947767,"myndvisp",0.00518763248619299
3,0.169711856649605,0.194217532355919,0.0457696408111523,0.0405691466517408,0.0161820116950192,0.00358583983804968,"myndvisp",-0.604047107933486
4,0.219042536173536,0.230926369789025,0.0233830889082048,0.0319121723395411,0.00826717036603976,0.00282066418296041,"myndvisp",-0.372391872575954
5,0.271980989440373,0.292584496536563,0.0304117932985682,0.0348764927718507,0.0107521926347306,0.0030826755678724,"myndvisp",-0.590756279049334
6,0.272514637628175,0.320229085734599,0.0361021754466712,0.0293619816861021,0.0127640465369638,0.00259525704491475,"myndvisp",-1.62504181824377
7,0.244432025815595,0.292623582697468,0.0458883701545908,0.0343486365829079,0.0162239888569548,0.00303601923153581,"myndvisp",-1.4030122204575
8,0.231591892694393,0.266284051724069,0.0372305665869263,0.0360430827755671,0.0131629930505164,0.00318578853068394,"myndvisp",-0.962519195311262
9,0.227479421466894,0.253956955161057,0.0385155590629044,0.036833256035414,0.0136173064972853,0.00325563063947769,"myndvisp",-0.718848577185418
10,0.219605437473143,0.24856454399964,0.0453518394549758,0.0416463067309215,0.0160342966089485,0.0036810482376012,"myndvisp",-0.695358335460622
11,0.195211221170283,0.22723131898549,0.0574173092388866,0.0483672270750918,0.0203000843601509,0.00427509928149838,"myndvisp",-0.662020540592382
12,0.191964469037565,0.206126491789894,0.0598481412386044,0.0518162205920463,0.0211595132556137,0.00457995011951175,"myndvisp",-0.273312537860059
