"miyear","mimonth","hyear","hyear_f","prec_ac","tmed","et0_ac"
1951,1,1951,"1950-1951",6,6.32258064516129,12.0831095781769
1951,2,1951,"1950-1951",2,7.01190476190476,13.856754057334
1951,3,1951,"1950-1951",2,11.752688172043,38.0830448176747
1951,4,1951,"1950-1951",0,14.3666666666667,55.7220533844259
1951,5,1951,"1950-1951",0,15.3548387096774,68.7353313373342
1951,6,1951,"1950-1951",0,24.7777777777778,145.493374539503
1951,7,1951,"1950-1951",1,27.4193548387097,173.828524722776
1951,8,1951,"1950-1951",0,26.2688172043011,153.291677566206
1951,9,1952,"1951-1952",0,21.5888888888889,99.6654652395864
1951,10,1952,"1951-1952",30,13.7849462365591,45.9342344626328
1951,11,1952,"1951-1952",77,10.7222222222222,27.3552896944574
1951,12,1952,"1951-1952",13,8.51612903225806,18.8248067813113
1952,1,1952,"1951-1952",27,5.02150537634409,8.42199401479255
1952,2,1952,"1951-1952",14,7.37931034482759,15.011024942997
1952,3,1952,"1951-1952",19,13.4623655913978,47.1130932462223
1952,4,1952,"1951-1952",80,13.2555555555556,49.1200279950519
1952,5,1952,"1951-1952",84,16.9462365591398,80.219190594671
1952,6,1952,"1951-1952",1,24.8777777777778,146.414375826092
1952,7,1952,"1951-1952",28,27.3548387096774,173.188162523849
1952,8,1952,"1951-1952",27,25.5806451612903,147.046996742762
1952,9,1953,"1952-1953",11,20.0666666666667,88.8780145912248
1952,10,1953,"1952-1953",32,17.5376344086022,66.9821338803682
1952,11,1953,"1952-1953",38,11.4333333333333,30.2505509840392
1952,12,1953,"1952-1953",56,6.97849462365591,13.779781845243
1953,1,1953,"1952-1953",26,5.3010752688172,9.16809753836926
1953,2,1953,"1952-1953",18,6.82142857142857,13.2715861932673
1953,3,1953,"1952-1953",15,10,29.5697962868682
1953,4,1953,"1952-1953",7,15.3222222222222,61.6368993427802
1953,5,1953,"1952-1953",6,21.7204301075269,118.347738084817
1953,6,1953,"1952-1953",2,23.2444444444444,131.637075684568
1953,7,1953,"1952-1953",0,28.5806451612903,185.500319031515
1953,8,1953,"1952-1953",0,28.2043010752688,171.352277438325
1953,9,1954,"1953-1954",3,22.1222222222222,103.549786528893
1953,10,1954,"1953-1954",1,14.9139784946237,51.9635954372162
1953,11,1954,"1953-1954",9,12.1444444444444,33.2497274650554
1953,12,1954,"1953-1954",42,9.27956989247312,21.5350338218648
