INDICATIVO;VARIABLE;FECHA;HORA;VALOR;VALIDACION
5514;PM1;31/08/1948;24:00;0,10;R
5514;PM1;30/09/1948;24:00;0,10;R
5514;PM1;31/10/1948;24:00;49,20;R
5514;PM1;30/11/1948;24:00;0,00;R
5514;PM1;31/12/1948;24:00;34,40;R
5514;PM1;31/01/1949;24:00;27,30;R
5514;PM1;28/02/1949;24:00;22,30;R
5514;PM1;31/03/1949;24:00;20,40;R
5514;PM1;30/04/1949;24:00;27,70;R
5514;PM1;31/05/1949;24:00;14,30;R
5514;PM1;30/06/1949;24:00;2,30;R
5514;PM1;31/07/1949;24:00;3,00;R
5514;PM1;31/08/1949;24:00;15,20;R
5514;PM1;30/09/1949;24:00;84,70;R
5514;PM1;31/10/1949;24:00;0,10;R
5514;PM1;30/11/1949;24:00;47,80;R
5514;PM1;31/12/1949;24:00;28,40;R
5514;PM1;31/01/1950;24:00;28,40;R
5514;PM1;28/02/1950;24:00;29,30;R
5514;PM1;31/03/1950;24:00;20,40;R
5514;PM1;30/04/1950;24:00;35,50;R
5514;PM1;31/05/1950;24:00;20,20;R
5514;PM1;30/06/1950;24:00;0,20;R
5514;PM1;31/07/1950;24:00;0,00;R
5514;PM1;31/08/1950;24:00;19,90;R
5514;PM1;30/09/1950;24:00;43,20;R
5514;PM1;31/10/1950;24:00;52,00;R
5514;PM1;30/11/1950;24:00;32,10;R
5514;PM1;31/12/1950;24:00;51,40;R
5514;PM1;31/01/1951;24:00;61,50;R
5514;PM1;28/02/1951;24:00;80,90;R
5514;PM1;31/03/1951;24:00;44,10;R
5514;PM1;30/04/1951;24:00;60,50;R
5514;PM1;31/05/1951;24:00;40,00;R
5514;PM1;30/06/1951;24:00;1,50;R
5514;PM1;31/07/1951;24:00;1,50;R
5514;PM1;31/08/1951;24:00;1,20;R
5514;PM1;30/09/1951;24:00;73,40;R
5514;PM1;31/10/1951;24:00;40,40;R
5514;PM1;30/11/1951;24:00;88,20;R
5514;PM1;31/12/1951;24:00;18,80;R
5514;PM1;31/01/1952;24:00;35,70;R
5514;PM1;29/02/1952;24:00;15,20;R
5514;PM1;31/03/1952;24:00;29,10;R
5514;PM1;30/04/1952;24:00;91,20;R
5514;PM1;31/05/1952;24:00;87,70;R
5514;PM1;30/06/1952;24:00;2,50;R
5514;PM1;31/07/1952;24:00;29,10;R
5514;PM1;31/08/1952;24:00;32,40;R
5514;PM1;30/09/1952;24:00;11,20;R
5514;PM1;31/10/1952;24:00;34,10;R
5514;PM1;30/11/1952;24:00;45,50;R
5514;PM1;31/12/1952;24:00;64,10;R
5514;PM1;31/01/1953;24:00;29,90;R
5514;PM1;28/02/1953;24:00;21,50;R
5514;PM1;31/03/1953;24:00;18,10;R
5514;PM1;30/04/1953;24:00;11,60;R
5514;PM1;31/05/1953;24:00;6,30;R
5514;PM1;30/06/1953;24:00;3,90;R
5514;PM1;31/07/1953;24:00;1,10;R
5514;PM1;31/08/1953;24:00;0,00;R
5514;PM1;30/09/1953;24:00;3,90;R
5514;PM1;31/10/1953;24:00;70,20;R
5514;PM1;30/11/1953;24:00;12,10;R
5514;PM1;31/12/1953;24:00;64,30;R
5514;PM1;31/01/1954;24:00;18,20;R
5514;PM1;28/02/1954;24:00;20,60;R
5514;PM1;31/03/1954;24:00;89,70;R
5514;PM1;30/04/1954;24:00;42,50;R
5514;PM1;31/05/1954;24:00;2,00;R
5514;PM1;30/06/1954;24:00;2,90;R
5514;PM1;31/07/1954;24:00;1,70;R
5514;PM1;31/08/1954;24:00;0,10;R
5514;PM1;30/09/1954;24:00;0,50;R
5514;PM1;31/10/1954;24:00;8,20;R
5514;PM1;30/11/1954;24:00;80,00;R
5514;PM1;31/12/1954;24:00;32,90;R
5514;PM1;31/01/1955;24:00;57,50;R
5514;PM1;28/02/1955;24:00;87,20;R
5514;PM1;31/03/1955;24:00;34,50;R
5514;PM1;30/04/1955;24:00;16,30;R
5514;PM1;31/05/1955;24:00;4,60;R
5514;PM1;30/06/1955;24:00;12,30;R
5514;PM1;31/07/1955;24:00;3,70;R
5514;PM1;31/08/1955;24:00;12,90;R
5514;PM1;30/09/1955;24:00;8,80;R
5514;PM1;31/10/1955;24:00;86,20;R
5514;PM1;30/11/1955;24:00;26,50;R
5514;PM1;31/12/1955;24:00;47,40;R
5514;PM1;31/01/1956;24:00;42,00;R
5514;PM1;29/02/1956;24:00;21,20;R
5514;PM1;31/03/1956;24:00;72,70;R
5514;PM1;30/04/1956;24:00;102,00;R
5514;PM1;31/05/1956;24:00;9,60;R
5514;PM1;30/06/1956;24:00;0,20;R
5514;PM1;31/07/1956;24:00;12,50;R
5514;PM1;31/08/1956;24:00;7,60;R
5514;PM1;30/09/1956;24:00;35,90;R
5514;PM1;31/10/1956;24:00;11,10;R
5514;PM1;30/11/1956;24:00;36,20;R
5514;PM1;31/12/1956;24:00;28,70;R
5514;PM1;31/01/1957;24:00;52,00;R
5514;PM1;28/02/1957;24:00;15,00;R
5514;PM1;31/03/1957;24:00;36,70;R
5514;PM1;30/04/1957;24:00;68,70;R
5514;PM1;31/05/1957;24:00;64,10;R
5514;PM1;30/06/1957;24:00;7,60;R
5514;PM1;31/07/1957;24:00;0,00;R
5514;PM1;31/08/1957;24:00;0,90;R
5514;PM1;30/09/1957;24:00;7,20;R
5514;PM1;31/10/1957;24:00;43,70;R
5514;PM1;30/11/1957;24:00;57,90;R
5514;PM1;31/12/1957;24:00;47,50;R
5514;PM1;31/01/1958;24:00;35,40;R
5514;PM1;28/02/1958;24:00;17,40;R
5514;PM1;31/03/1958;24:00;49,40;R
5514;PM1;30/04/1958;24:00;65,20;R
5514;PM1;31/05/1958;24:00;15,10;R
5514;PM1;30/06/1958;24:00;9,50;R
5514;PM1;31/07/1958;24:00;0,00;R
5514;PM1;31/08/1958;24:00;0,20;R
5514;PM1;30/09/1958;24:00;0,60;R
5514;PM1;31/10/1958;24:00;31,90;R
5514;PM1;30/11/1958;24:00;8,70;R
5514;PM1;31/01/1938;24:00;0,20;R
5514;PM1;28/02/1938;24:00;0,20;R
5514;PM1;31/03/1938;24:00;0,30;R
5514;PM1;30/04/1938;24:00;0,80;R
5514;PM1;31/05/1938;24:00;1,00;R
5514;PM1;30/06/1938;24:00;11,60;R
5514;PM1;31/07/1938;24:00;0,00;R
5514;PM1;31/08/1938;24:00;0,00;R
5514;PM1;30/09/1938;24:00;0,30;R
5514;PM1;31/12/1938;24:00;1,30;R
5514;PM1;31/01/1939;24:00;0,70;R
5514;PM1;28/02/1939;24:00;0,30;R
5514;PM1;31/03/1939;24:00;0,60;R
5514;PM1;30/04/1939;24:00;0,60;R
5514;PM1;31/05/1939;24:00;0,40;R
5514;PM1;30/06/1939;24:00;0,70;R
5514;PM1;31/08/1939;24:00;0,20;R
5514;PM1;30/09/1939;24:00;0,70;R
5514;PM1;31/10/1939;24:00;1,20;R
5514;PM1;30/11/1939;24:00;40,30;R
5514;PM1;31/12/1939;24:00;51,80;R
5514;PM1;31/01/1940;24:00;79,60;R
5514;PM1;29/02/1940;24:00;70,60;R
5514;PM1;31/03/1940;24:00;67,20;R
5514;PM1;30/04/1940;24:00;9,00;R
5514;PM1;31/05/1940;24:00;27,60;R
5514;PM1;30/06/1940;24:00;84,60;R
5514;PM1;31/07/1940;24:00;0,70;R
5514;PM1;31/08/1940;24:00;13,30;R
5514;PM1;30/09/1940;24:00;0,20;R
5514;PM1;31/10/1940;24:00;65,40;R
5514;PM1;30/11/1940;24:00;35,90;R
5514;PM1;31/12/1940;24:00;4,90;R
5514;PM1;31/01/1941;24:00;99,60;R
5514;PM1;28/02/1941;24:00;120,10;R
5514;PM1;31/03/1941;24:00;34,60;R
5514;PM1;30/04/1941;24:00;79,10;R
5514;PM1;31/05/1941;24:00;44,90;R
5514;PM1;30/06/1941;24:00;10,10;R
5514;PM1;31/07/1941;24:00;3,40;R
5514;PM1;31/08/1941;24:00;13,50;R
5514;PM1;30/09/1941;24:00;16,70;R
5514;PM1;31/10/1941;24:00;14,70;R
5514;PM1;30/11/1941;24:00;29,10;R
5514;PM1;31/12/1941;24:00;16,10;R
5514;PM1;31/01/1942;24:00;28,70;R
5514;PM1;28/02/1942;24:00;38,50;R
5514;PM1;31/03/1942;24:00;97,00;R
5514;PM1;30/04/1942;24:00;66,90;R
5514;PM1;31/05/1942;24:00;27,90;R
5514;PM1;30/06/1942;24:00;0,20;R
5514;PM1;31/07/1942;24:00;0,00;R
5514;PM1;31/08/1942;24:00;0,00;R
5514;PM1;30/09/1942;24:00;16,80;R
5514;PM1;31/10/1942;24:00;91,40;R
5514;PM1;30/11/1942;24:00;53,70;R
5514;PM1;31/12/1942;24:00;40,10;R
5514;PM1;31/01/1943;24:00;46,30;R
5514;PM1;28/02/1943;24:00;9,40;R
5514;PM1;31/03/1943;24:00;75,80;R
5514;PM1;30/04/1943;24:00;20,40;R
5514;PM1;31/05/1943;24:00;31,10;R
5514;PM1;30/06/1943;24:00;2,20;R
5514;PM1;31/07/1943;24:00;1,90;R
5514;PM1;31/08/1943;24:00;0,10;R
5514;PM1;30/09/1943;24:00;26,50;R
5514;PM1;31/10/1943;24:00;9,20;R
5514;PM1;30/11/1943;24:00;1,10;R
5514;PM1;31/12/1943;24:00;182,60;R
5514;PM1;31/01/1944;24:00;0,10;R
5514;PM1;29/02/1944;24:00;51,80;R
5514;PM1;31/03/1944;24:00;49,60;R
5514;PM1;30/04/1944;24:00;58,70;R
5514;PM1;31/05/1944;24:00;38,80;R
5514;PM1;30/06/1944;24:00;36,30;R
5514;PM1;31/07/1944;24:00;0,00;R
5514;PM1;31/08/1944;24:00;13,90;R
5514;PM1;30/09/1944;24:00;41,70;R
5514;PM1;31/10/1944;24:00;47,40;R
5514;PM1;30/11/1944;24:00;29,00;R
5514;PM1;31/12/1944;24:00;12,80;R
5514;PM1;31/01/1945;24:00;45,00;R
5514;PM1;28/02/1945;24:00;0,10;R
5514;PM1;31/03/1945;24:00;37,80;R
5514;PM1;30/04/1945;24:00;5,20;R
5514;PM1;31/05/1945;24:00;4,50;R
5514;PM1;30/06/1945;24:00;11,80;R
5514;PM1;31/07/1945;24:00;0,10;R
5514;PM1;31/08/1945;24:00;0,10;R
5514;PM1;30/09/1945;24:00;0,30;R
5514;PM1;31/10/1945;24:00;27,60;R
5514;PM1;30/11/1945;24:00;52,70;R
5514;PM1;31/12/1945;24:00;69,00;R
5514;PM1;31/01/1946;24:00;25,20;R
5514;PM1;28/02/1946;24:00;32,40;R
5514;PM1;31/03/1946;24:00;83,40;R
5514;PM1;30/04/1946;24:00;117,90;R
5514;PM1;31/05/1946;24:00;68,20;R
5514;PM1;30/06/1946;24:00;12,90;R
5514;PM1;31/07/1946;24:00;0,00;R
5514;PM1;31/08/1946;24:00;0,00;R
5514;PM1;30/09/1946;24:00;0,30;R
5514;PM1;31/10/1946;24:00;25,20;R
5514;PM1;30/11/1946;24:00;81,60;R
5514;PM1;31/12/1946;24:00;26,00;R
5514;PM1;31/01/1947;24:00;98,20;R
5514;PM1;28/02/1947;24:00;167,30;R
5514;PM1;31/03/1947;24:00;73,00;R
5514;PM1;30/04/1947;24:00;11,90;R
5514;PM1;31/05/1947;24:00;47,00;R
5514;PM1;30/06/1947;24:00;2,00;R
5514;PM1;31/07/1947;24:00;6,70;R
5514;PM1;31/08/1947;24:00;8,40;R
5514;PM1;30/09/1947;24:00;3,50;R
5514;PM1;31/10/1947;24:00;46,80;R
5514;PM1;30/11/1947;24:00;30,40;R
5514;PM1;31/12/1947;24:00;56,90;R
5514;PM1;31/01/1948;24:00;116,40;R
5514;PM1;29/02/1948;24:00;45,20;R
5514;PM1;31/03/1948;24:00;7,70;R
5514;PM1;30/04/1948;24:00;57,10;R
5514;PM1;31/05/1948;24:00;51,40;R
5514;PM1;30/06/1948;24:00;2,70;R
5514;PM1;31/07/1948;24:00;0,00;R
5514;PM1;31/12/1958;24:00;158,60;R
5514;PM1;31/01/1959;24:00;36,70;R
5514;PM1;28/02/1959;24:00;28,20;R
5514;PM1;31/03/1959;24:00;24,60;R
5514;PM1;30/04/1959;24:00;33,70;R
5514;PM1;31/05/1959;24:00;120,20;R
5514;PM1;30/06/1959;24:00;0,00;R
5514;PM1;31/07/1959;24:00;7,10;R
5514;PM1;31/08/1959;24:00;10,70;R
5514;PM1;30/09/1959;24:00;45,90;R
5514;PM1;31/10/1959;24:00;49,70;R
5514;PM1;30/11/1959;24:00;59,60;R
5514;PM1;31/12/1959;24:00;42,90;R
5514;PM1;31/01/1960;24:00;43,10;R
5514;PM1;29/02/1960;24:00;76,40;R
5514;PM1;31/03/1960;24:00;152,50;R
5514;PM1;30/04/1960;24:00;46,30;R
5514;PM1;31/05/1960;24:00;16,10;R
5514;PM1;30/06/1960;24:00;37,70;R
5514;PM1;31/07/1960;24:00;1,40;R
5514;PM1;31/08/1960;24:00;0,00;R
5514;PM1;30/09/1960;24:00;6,20;R
5514;PM1;31/10/1960;24:00;62,40;R
5514;PM1;30/11/1960;24:00;38,90;R
5514;PM1;31/12/1960;24:00;65,70;R
5514;PM1;31/01/1961;24:00;33,70;R
5514;PM1;28/02/1961;24:00;0,00;R
5514;PM1;31/03/1961;24:00;4,40;R
5514;PM1;30/04/1961;24:00;23,50;R
5514;PM1;31/05/1961;24:00;24,70;R
5514;PM1;30/06/1961;24:00;13,40;R
5514;PM1;31/07/1961;24:00;6,00;R
5514;PM1;31/08/1961;24:00;0,00;R
5514;PM1;30/09/1961;24:00;10,80;R
5514;PM1;31/10/1961;24:00;21,60;R
5514;PM1;30/11/1961;24:00;116,90;R
5514;PM1;31/12/1961;24:00;108,50;R
5514;PM1;31/01/1962;24:00;22,70;R
5514;PM1;28/02/1962;24:00;13,30;R
5514;PM1;31/03/1962;24:00;100,40;R
5514;PM1;30/04/1962;24:00;54,90;R
5514;PM1;31/05/1962;24:00;18,90;R
5514;PM1;30/06/1962;24:00;1,50;R
5514;PM1;31/07/1962;24:00;0,00;R
5514;PM1;31/08/1962;24:00;0,10;R
5514;PM1;30/09/1962;24:00;3,70;R
5514;PM1;31/10/1962;24:00;106,80;R
5514;PM1;30/11/1962;24:00;65,90;R
5514;PM1;31/12/1962;24:00;75,40;R
5514;PM1;31/01/1963;24:00;88,30;R
5514;PM1;28/02/1963;24:00;146,20;R
5514;PM1;31/03/1963;24:00;15,80;R
5514;PM1;30/04/1963;24:00;28,80;R
5514;PM1;31/05/1963;24:00;43,00;R
5514;PM1;30/06/1963;24:00;12,60;R
5514;PM1;31/07/1963;24:00;0,00;R
5514;PM1;31/08/1963;24:00;1,00;R
5514;PM1;30/09/1963;24:00;75,70;R
5514;PM1;31/10/1963;24:00;10,60;R
5514;PM1;30/11/1963;24:00;65,70;R
5514;PM1;31/12/1963;24:00;142,30;R
5514;PM1;31/01/1964;24:00;10,00;R
5514;PM1;29/02/1964;24:00;60,10;R
5514;PM1;31/03/1964;24:00;61,50;R
5514;PM1;30/04/1964;24:00;18,40;R
5514;PM1;31/05/1964;24:00;15,00;R
5514;PM1;30/06/1964;24:00;8,70;R
5514;PM1;31/07/1964;24:00;0,00;R
5514;PM1;31/08/1964;24:00;0,10;R
5514;PM1;30/09/1964;24:00;0,20;R
5514;PM1;31/10/1964;24:00;5,80;R
5514;PM1;30/11/1964;24:00;48,10;R
5514;PM1;31/12/1964;24:00;50,20;R
5514;PM1;31/01/1965;24:00;40,50;R
5514;PM1;28/02/1965;24:00;25,70;R
5514;PM1;31/03/1965;24:00;34,40;R
5514;PM1;30/04/1965;24:00;15,30;R
5514;PM1;31/05/1965;24:00;2,80;R
5514;PM1;30/06/1965;24:00;19,00;R
5514;PM1;31/07/1965;24:00;0,00;R
5514;PM1;31/08/1965;24:00;0,10;R
5514;PM1;30/09/1965;24:00;39,50;R
5514;PM1;31/10/1965;24:00;63,30;R
5514;PM1;30/11/1965;24:00;83,20;R
5514;PM1;31/12/1965;24:00;21,30;R
5514;PM1;31/01/1966;24:00;68,70;R
5514;PM1;28/02/1966;24:00;65,60;R
5514;PM1;31/03/1966;24:00;1,10;R
5514;PM1;30/04/1966;24:00;50,00;R
5514;PM1;31/05/1966;24:00;30,70;R
5514;PM1;30/06/1966;24:00;6,30;R
5514;PM1;31/07/1966;24:00;0,90;R
5514;PM1;31/08/1966;24:00;0,60;R
5514;PM1;30/09/1966;24:00;20,50;R
5514;PM1;31/10/1966;24:00;78,30;R
5514;PM1;30/11/1966;24:00;7,70;R
5514;PM1;31/12/1966;24:00;2,30;R
5514;PM1;31/01/1967;24:00;19,10;R
5514;PM1;28/02/1967;24:00;48,80;R
5514;PM1;31/03/1967;24:00;24,00;R
5514;PM1;30/04/1967;24:00;24,80;R
5514;PM1;31/05/1967;24:00;26,50;R
5514;PM1;30/06/1967;24:00;125,60;R
5514;PM1;31/07/1967;24:00;10,00;R
5514;PM1;31/08/1967;24:00;0,00;R
5514;PM1;30/09/1967;24:00;12,20;R
5514;PM1;31/10/1967;24:00;26,30;R
5514;PM1;30/11/1967;24:00;63,20;R
5514;PM1;31/12/1967;24:00;11,70;R
5514;PM1;31/01/1968;24:00;5,60;R
5514;PM1;29/02/1968;24:00;108,00;R
5514;PM1;31/03/1968;24:00;44,00;R
5514;PM1;30/04/1968;24:00;37,50;R
5514;PM1;31/05/1968;24:00;8,20;R
5514;PM1;30/06/1968;24:00;29,00;R
5514;PM1;31/07/1968;24:00;0,00;R
5514;PM1;31/08/1968;24:00;4,10;R
5514;PM1;30/09/1968;24:00;3,20;R
5514;PM1;31/10/1968;24:00;4,60;R
5514;PM1;30/11/1968;24:00;68,60;R
5514;PM1;31/12/1968;24:00;65,40;R
5514;PM1;31/01/1969;24:00;65,80;R
5514;PM1;28/02/1969;24:00;68,40;R
5514;PM1;31/03/1969;24:00;64,60;R
5514;PM1;30/04/1969;24:00;37,00;R
5514;PM1;31/05/1969;24:00;50,50;R
5514;PM1;30/06/1969;24:00;17,10;R
5514;PM1;31/07/1969;24:00;0,20;R
5514;PM1;31/08/1969;24:00;0,30;R
5514;PM1;30/09/1969;24:00;42,40;R
5514;PM1;31/10/1969;24:00;53,20;R
5514;PM1;30/11/1969;24:00;54,70;R
5514;PM1;31/12/1969;24:00;42,60;R
5514;PM1;31/01/1970;24:00;133,00;R
5514;PM1;28/02/1970;24:00;5,80;R
5514;PM1;31/03/1970;24:00;56,30;R
5514;PM1;30/04/1970;24:00;33,70;R
5514;PM1;31/05/1970;24:00;14,00;R
5514;PM1;30/06/1970;24:00;22,40;R
5514;PM1;31/07/1970;24:00;0,00;R
5514;PM1;31/08/1970;24:00;1,30;R
5514;PM1;30/09/1970;24:00;0,10;R
5514;PM1;31/10/1970;24:00;16,90;R
5514;PM1;30/11/1970;24:00;22,20;R
5514;PM1;31/12/1970;24:00;50,80;R
5514;PM1;31/01/1971;24:00;75,40;R
5514;PM1;28/02/1971;24:00;9,10;R
5514;PM1;31/03/1971;24:00;83,00;R
5514;PM1;30/04/1971;24:00;97,30;R
5514;PM1;31/05/1971;24:00;71,80;R
5514;PM1;30/06/1971;24:00;7,00;R
5514;PM1;31/07/1971;24:00;0,20;R
5514;PM1;31/08/1971;24:00;0,20;R
5514;PM1;30/09/1971;24:00;23,30;R
5514;PM1;31/10/1971;24:00;0,10;R
5514;PM1;30/11/1971;24:00;32,40;R
5514;PM1;31/12/1971;24:00;40,70;R
5514;PM1;31/01/1972;24:00;85,90;R
5514;PM1;29/02/1972;24:00;55,90;R
5514;PM1;31/03/1972;24:00;83,60;R
5514;PM1;30/04/1972;24:00;10,30;R
5514;PM1;31/05/1972;24:00;29,40;R
5514;PM1;30/06/1972;24:00;14,30;R
5514;PM1;31/07/1972;24:00;1,20;R
5514;PM1;31/08/1972;24:00;1,80;R
5514;PM1;30/09/1972;24:00;49,90;R
5514;PM1;31/10/1972;24:00;112,60;R
5514;PM1;30/11/1972;24:00;30,00;R
5514;PM1;31/12/1972;24:00;32,00;R
5514;PM1;31/01/1973;24:00;41,00;R
