"iv_malla_modi_id","elev"
142799,1743.48999023438
142800,1741.68005371094
142801,1626.51000976562
142802,1522.08996582031
142803,1500.09997558594
142804,1430.93005371094
142805,1451.61999511719
142806,1561.71997070312
142807,1598.85998535156
143477,1854.44995117188
143478,1850.7099609375
143479,1743.81005859375
143480,1607.88000488281
143481,1585.92004394531
143482,1591.5
143483,1486.5400390625
143484,1400.06005859375
143485,1491.35998535156
143486,1568.39001464844
143487,1657.53002929688
144156,1961.89001464844
144157,1864.5400390625
144158,1746.35998535156
144159,1690.7900390625
144160,1609.21997070312
144161,1533.66003417969
144162,1495.38000488281
144163,1449.05004882812
144164,1464.17004394531
144165,1545.36999511719
144166,1641.25
144167,1728.59997558594
144168,1706.53002929688
144833,2086.3701171875
144834,2021.17004394531
144835,1950.4599609375
144836,1896.40002441406
144837,1799.91003417969
144838,1691.19995117188
144839,1543.07995605469
144840,1584.73999023438
144841,1554.43994140625
144842,1455.31994628906
144843,1520.72998046875
144844,1523.5
144845,1614.53002929688
144846,1694.98999023438
144847,1746.34997558594
145511,2150.75
145512,2074.2900390625
145513,2002.34997558594
145514,1906.09997558594
145515,1867.5400390625
145516,1776.22998046875
145517,1693.98999023438
145518,1614.53002929688
145519,1699.58996582031
145520,1612.80004882812
145521,1493.18994140625
145522,1580.41003417969
145523,1600.67004394531
145524,1621.06994628906
145525,1604.21997070312
145526,1721.77001953125
146190,2088.6298828125
146191,2038.11999511719
146192,1967.31005859375
146193,1881.7900390625
146194,1821.81005859375
146195,1742.86999511719
146196,1682.80004882812
146197,1699.22998046875
146198,1673.52001953125
146199,1554.84997558594
146200,1600.96997070312
146201,1637.71997070312
146202,1652.40002441406
146203,1620.06994628906
146204,1688.43005371094
146205,1686.26000976562
146868,2140.52001953125
146869,2092.19995117188
146870,2047.92004394531
146871,1973.98999023438
146872,1888.55004882812
146873,1796.93005371094
146874,1756.11999511719
146875,1656.31994628906
146876,1725.64001464844
146877,1636.7900390625
146878,1536.85998535156
146879,1612.7900390625
146880,1695.0400390625
146881,1665.31005859375
146882,1678.67004394531
146883,1750.15002441406
146884,1730.5400390625
147547,2170.67993164062
147548,2107.080078125
147549,2034.53002929688
147550,1978.07995605469
147551,1879.30004882812
147552,1837.89001464844
147553,1761.88000488281
