"iv_malla_modi_id","poblacion","lng","lat","dr","post","pre","rt","rc","rs","rrs"
142799,1,-3.2653977048134,37.1964115002029,1.19435,1.493075,1.67945,0.711155437792134,1.25011512538201,0.88902616928161,0.177870731489476
142800,1,-3.26278232147106,37.1964115002029,1.23435,1.5136,1.5623,0.790085130896755,1.2262324300239,0.968828009985278,0.178742879088523
142801,1,-3.26016693812872,37.1964115002029,1.53875,1.7294,1.972,0.780299188640974,1.12389926888708,0.876977687626775,0.0966784989858012
142802,1,-3.25755155478638,37.1964115002029,1.65155,1.855025,1.9229,0.858885017421603,1.12320244618692,0.964701752561236,0.105816735139633
142803,1,-3.25493617144404,37.1964115002029,1.6139,1.806225,1.9585,0.824049017104927,1.11916785426606,0.92224917028338,0.0982001531784528
142804,1,-3.2523207881017,37.1964115002029,1.47645,1.712975,1.99245,0.741022359406761,1.16019844898236,0.85973299204497,0.118710632638209
142805,1,-3.24970540475935,37.1964115002029,1.2562,1.659425,1.6149,0.777880983342622,1.32098790001592,1.02757136664809,0.249690383305468
142806,1,-3.24709002141701,37.1964115002029,1.33045,1.549575,1.6915,0.786550399054094,1.16469991356308,0.916095181791309,0.129544782737216
142807,1,-3.24447463807467,37.1964115002029,1.29245,1.503875,1.46645,0.881346107947765,1.16358466478394,1.02552081557503,0.144174707627263
143477,1,-3.26792290907797,37.1943281700917,1.2087,1.5533,1.7313,0.69814590192341,1.28509969388599,0.897187084849535,0.199041182926125
143478,1,-3.26530759790574,37.1943281700917,1.2826,1.48905,1.4855,0.863412992258499,1.16096210821768,1.00238976775496,0.138976775496466
143479,1,-3.2626922867335,37.1943281700917,1.7168,1.811225,2.13695,0.803388006270619,1.05500058247903,0.847574814572171,0.0441868083015513
143480,1,-3.26007697556127,37.1943281700917,1.6351,1.9073,2.2264,0.734414301113906,1.16647299859336,0.856674452030183,0.122260150916277
143481,1,-3.25746166438904,37.1943281700917,1.6923,2.008025,1.9435,0.870748649343967,1.18656562075282,1.03320041162851,0.162451762284538
143482,1,-3.2548463532168,37.1943281700917,1.67195,2.0032,2.19145,0.762942344110064,1.1981219534077,0.914097971662598,0.151155627552534
143483,1,-3.25223104204457,37.1943281700917,1.56235,2.031225,2.16005,0.723293442281429,1.3001088104458,0.940360176847758,0.21706673456633
143484,1,-3.24961573087234,37.1943281700917,1.4035,1.74875,1.86335,0.753213298628814,1.24599216245102,0.938497866745378,0.185284568116564
143485,1,-3.2470004197001,37.1943281700917,1.2616,1.550875,1.694,0.744746162927981,1.2292921686747,0.915510625737899,0.170764462809917
143486,1,-3.24438510852787,37.1943281700917,1.1859,1.40445,1.5975,0.742347417840376,1.18429041234505,0.879154929577465,0.136807511737089
143487,1,-3.24176979735564,37.1943281700917,1.0419,1.2885,1.224,0.851225490196079,1.23668298301181,1.05269607843137,0.201470588235294
144156,1,-3.2678327392973,37.1922448399805,1.05765,1.269275,1.38175,0.765442373801339,1.20008982177469,0.918599601954044,0.153157228152705
144157,1,-3.26521750028773,37.1922448399805,1.40615,1.687075,1.8375,0.765251700680272,1.1997830956868,0.918136054421769,0.152884353741497
144158,1,-3.26260226127817,37.1922448399805,1.7609,2.0809,2.23755,0.786976827333467,1.18172525413141,0.929990391276173,0.143013563942705
144159,1,-3.2599870222686,37.1922448399805,1.74425,2.056025,2.3276,0.749377040728648,1.17874444603698,0.88332402474652,0.133946984017872
144160,1,-3.25737178325903,37.1922448399805,1.71445,2.038525,2.23295,0.767795964979064,1.18902563504331,0.912929084842921,0.145133119863857
144161,1,-3.25475654424947,37.1922448399805,1.5301,2.089575,2.1098,0.725234619395203,1.36564603620678,0.990413783296995,0.265179163901792
144162,1,-3.2521413052399,37.1922448399805,1.7092,2.11315,2.3935,0.714100689367036,1.23633863795928,0.882870273657823,0.168769584290788
144163,1,-3.24952606623034,37.1922448399805,1.7715,1.97185,2.0602,0.859867973983108,1.11309624611911,0.957115813998641,0.0972478400155324
144164,1,-3.24691082722077,37.1922448399805,1.27785,1.71635,1.88165,0.679111418170223,1.34315451735337,0.912151569101586,0.233040150931363
144165,1,-3.24429558821121,37.1922448399805,1.27115,1.5893,1.6706,0.760894289476835,1.25028517484168,0.951334849754579,0.190440560277745
144166,1,-3.24168034920164,37.1922448399805,1.0955,1.4934,1.43795,0.761848464828402,1.36321314468279,1.03856184151048,0.276713376682082
144167,1,-3.23906511019207,37.1922448399805,1.0102,1.166425,1.36315,0.741077651028867,1.15464759453574,0.855683527124674,0.114605876095808
144168,1,-3.23644987118251,37.1922448399805,1.14505,1.31065,1.4012,0.817192406508707,1.14462250556744,0.935376819868684,0.118184413359977
144833,1,-3.27297291252139,37.1901615098693,1.18015,1.489575,1.42305,0.829310284248621,1.2621912468754,1.04674818172236,0.217437897473736
144834,1,-3.27035774566705,37.1901615098693,1.18205,1.4495,1.60555,0.736227460994675,1.22625946448966,0.90280589206191,0.166578431067235
144835,1,-3.26774257881271,37.1901615098693,1.21935,1.539875,1.5216,0.801360410094637,1.26286546110633,1.01201038380652,0.210649973711882
144836,1,-3.26512741195838,37.1901615098693,1.6412,1.84285,1.9477,0.842634902705755,1.12286741408725,0.946167274220876,0.10353237151512
144837,1,-3.26251224510404,37.1901615098693,1.6814,1.91005,1.9644,0.85593565465282,1.13598786725348,0.972332518835268,0.116396864182448
144838,1,-3.2598970782497,37.1901615098693,1.53205,1.8183,1.82185,0.840930921865137,1.18684116053654,0.998051431237478,0.157120509372341
