"iv_malla_modi_id","pop","long","lat","dr","post","pre","rt","rc","rs","rrs"
142799,1,-3.2653977,37.1964115,1.3692,1.54903333333333,1.62326666666667,0.843484332005421,1.1313419028143,0.954269169165058,0.110784837159637
142800,1,-3.2627823,37.1964115,1.4734,1.56996666666667,1.6812,0.876397811087319,1.06554002081354,0.93383694186692,0.0574391307796019
142801,1,-3.2601669,37.1964115,1.667,1.66223333333333,1.8204,0.915732805976708,0.997140571885623,0.913114333846041,-0.00261847213066733
142802,1,-3.2575516,37.1964115,1.6879,1.6877,1.9664,0.85837062652563,0.999881509568102,0.858268917819365,-0.000101708706265245
142803,1,-3.2549362,37.1964115,1.5734,1.64873333333333,1.9225,0.818413524057217,1.04787932714715,0.857598612917209,0.0391850888599914
142804,1,-3.2523208,37.1964115,1.4823,1.51646666666667,1.74306666666667,0.85039776638874,1.02304976500483,0.869999235064637,0.0196014686758969
142805,1,-3.2497054,37.1964115,1.4563,1.40916666666667,1.5795,0.922000633111744,0.967634873766852,0.89215996623404,-0.0298406668777039
142806,1,-3.24709,37.1964115,1.4448,1.3142,1.43953333333333,1.00365859306257,0.909606866002215,0.912934747371833,-0.0907238456907331
142807,1,-3.2444746,37.1964115,1.3755,1.27726666666667,1.36123333333333,1.01048069152974,0.928583545377438,0.938315743076132,-0.0721649484536083
143477,1,-3.2679229,37.1943282,1.3304,1.42126666666667,1.466,0.907503410641201,1.06830026057326,0.969486130059118,0.0619827194179172
143478,1,-3.2653076,37.1943282,1.4484,1.47866666666667,1.54876666666667,0.935195747153649,1.02089662155942,0.9547381787659,0.0195424316122506
143479,1,-3.2626923,37.1943282,1.7898,1.6883,1.87456666666667,0.954780660419297,0.943289753045033,0.900634813379092,-0.0541458470402049
143480,1,-3.260077,37.1943282,1.7778,1.71836666666667,1.97533333333333,0.9,0.966569167885401,0.869912251096861,-0.0300877489031388
143481,1,-3.2574617,37.1943282,1.6543,1.7169,1.9101,0.866080309931417,1.03784077857704,0.898853463169468,0.0327731532380502
143482,1,-3.2548464,37.1943282,1.7081,1.75853333333333,1.9318,0.884201263070711,1.02952598403684,0.910308175449494,0.0261069123787832
143483,1,-3.252231,37.1943282,1.6797,1.60296666666667,1.92173333333333,0.874054672864775,0.954317239189538,0.834125442309027,-0.0399292305557483
143484,1,-3.2496157,37.1943282,1.3348,1.491,1.5963,0.836183674747854,1.11702127659574,0.934034955835369,0.0978512810875148
143485,1,-3.2470004,37.1943282,1.376,1.3846,1.5163,0.90747213612082,1.00625,0.913143836971576,0.00567170085075524
143486,1,-3.2443851,37.1943282,1.4182,1.2519,1.40516666666667,1.00927529355948,0.8827386828374,0.890926343257028,-0.118348950302455
143487,1,-3.2417698,37.1943282,1.1449,1.2527,1.30463333333333,0.877564577531363,1.09415669490785,0.960193157719921,0.0826285801885586
144156,1,-3.2678327,37.1922448,1.2479,1.30893333333333,1.41896666666667,0.879442787004628,1.04890883350696,0.922455307853132,0.0430125208485047
