"iv_malla_modi_id","pop","long","lat","dr","post","pre","rt","rc","rs","rrs"
142799,1,-3.2653977,37.1964115,1.5196,1.6097,1.54053333333333,0.986411632335122,1.05929191892603,1.04489787086723,0.0584862385321101
142800,1,-3.2627823,37.1964115,1.5419,1.61616666666667,1.63376666666667,0.943770020198723,1.04816568303176,0.98922734784649,0.0454573276477669
142801,1,-3.2601669,37.1964115,1.6575,1.8421,1.87353333333333,0.884692025762374,1.11137254901961,0.98322243176885,0.0985304060064762
142802,1,-3.2575516,37.1964115,1.9054,1.94763333333333,2.0074,0.94918800438378,1.02216507469998,0.970226827405267,0.0210388230214872
142803,1,-3.2549362,37.1964115,1.8073,1.87523333333333,1.97343333333333,0.915815076938669,1.03758829930467,0.95023900815837,0.0344239312197017
142804,1,-3.2523208,37.1964115,1.7439,1.73483333333333,1.86473333333333,0.935200743627328,0.994800925129499,0.930338564942262,-0.00486217868506674
142805,1,-3.2497054,37.1964115,1.5171,1.69456666666667,1.72946666666667,0.877206846041169,1.11697756684903,0.979820368514378,0.102613522473209
142806,1,-3.24709,37.1964115,1.389,1.55136666666667,1.5889,0.874189690981182,1.11689464842813,0.976377787567919,0.102188096586737
142807,1,-3.2444746,37.1964115,1.3113,1.47513333333333,1.48633333333333,0.882238169993272,1.12493962734182,0.992464678178964,0.110226508185692
143477,1,-3.2679229,37.1943282,1.3278,1.43103333333333,1.49286666666667,0.889429732505694,1.07774765275895,0.958580806502032,0.0691510739963381
143478,1,-3.2653076,37.1943282,1.5031,1.58333333333333,1.54316666666667,0.974036073010044,1.053378573171,1.02602872880441,0.0519926557943621
143479,1,-3.2626923,37.1943282,1.7159,1.91173333333333,1.9598,0.875548525359731,1.11412863997513,0.975473687791271,0.0999251624315406
143480,1,-3.260077,37.1943282,1.8979,1.9823,2.0341,0.933041640037363,1.04447020390958,0.974534192025957,0.0414925519885945
143481,1,-3.2574617,37.1943282,1.9371,1.95246666666667,1.99486666666667,0.971042342011162,1.00793282053929,0.978745446646392,0.00770310463523047
143482,1,-3.2548464,37.1943282,1.9841,1.9814,2.0876,0.950421536692853,0.998639181492868,0.949128185476145,-0.00129335121670815
143483,1,-3.252231,37.1943282,2.0239,1.88293333333333,2.06193333333333,0.981554528112774,0.930348996162525,0.9131882699085,-0.0683662582042742
143484,1,-3.2496157,37.1943282,1.734,1.8807,1.79356666666667,0.966788707788949,1.08460207612457,1.04858103964168,0.0817923318527329
143485,1,-3.2470004,37.1943282,1.5349,1.5671,1.63506666666667,0.938738481611351,1.02097856537885,0.958431868221479,0.019693386610128
143486,1,-3.2443851,37.1943282,1.3894,1.46393333333333,1.47043333333333,0.944891528574343,1.05364425891272,0.995579534377621,0.050688005803278
143487,1,-3.2417698,37.1943282,1.2003,1.37336666666667,1.3128,0.914305301645338,1.1441861756783,1.04613548649198,0.131830184846638
144156,1,-3.2678327,37.1922448,1.2087,1.31666666666667,1.30386666666667,0.927011964413539,1.08932461873638,1.00981695469884,0.0828049902853051
144157,1,-3.2652175,37.1922448,1.6024,1.8137,1.7513,0.914977445326329,1.13186470294558,1.03563067435619,0.120653229029863
144158,1,-3.2626023,37.1922448,1.9574,2.02816666666667,2.04976666666667,0.954937960418259,1.03615340076973,0.989462215211488,0.0345242547932286
144159,1,-3.259987,37.1922448,2.0512,2.10533333333333,2.1297,0.963140348405879,1.02639105564223,0.988558638931931,0.0254182905260521
144160,1,-3.2573718,37.1922448,1.8746,1.97666666666667,1.97363333333333,0.949821817629077,1.05444717095203,1.00153692850749,0.0517151108784138
144161,1,-3.2547565,37.1922448,1.8973,1.8697,1.99256666666667,0.952188969001455,0.985453012175196,0.938337487662479,-0.0138514813389766
144162,1,-3.2521413,37.1922448,1.903,1.99943333333333,2.0901,0.910482752021434,1.05067437379576,0.956620895331962,0.0461381433105274
144163,1,-3.2495261,37.1922448,1.8241,1.94956666666667,2.0144,0.90553018268467,1.06878277872193,0.967815064866296,0.0622848821816256
144164,1,-3.2469108,37.1922448,1.5803,1.7435,1.70856666666667,0.924927326999239,1.10327153072201,1.02044598786507,0.095518660865833
144165,1,-3.2442956,37.1922448,1.4482,1.61383333333333,1.65263333333333,0.876298432804211,1.11437186392303,0.97652231791686,0.100223885112649
144166,1,-3.2416803,37.1922448,1.2774,1.46866666666667,1.57216666666667,0.812509275946147,1.14973122488388,0.934167285063076,0.12165800911693
144167,1,-3.2390651,37.1922448,1.1554,1.27876666666667,1.28323333333333,0.900381847936203,1.10677398880619,0.996519209289035,0.0961373613528326
144168,1,-3.2364499,37.1922448,1.3113,1.4191,1.40583333333333,0.932756372258447,1.08220849538626,1.00943687018376,0.0766804979253113
144833,1,-3.2729729,37.1901615,1.3349,1.39343333333333,1.45583333333333,0.916931883228391,1.04384847803831,0.957137950772753,0.0402060675443618
144834,1,-3.2703577,37.1901615,1.4186,1.40943333333333,1.45416666666667,0.975541547277937,0.99353823017999,0.96923782234957,-0.00630372492836683
144835,1,-3.2677426,37.1901615,1.4792,1.46056666666667,1.5021,0.984754676785833,0.987403100775194,0.972349821361206,-0.0124048554246277
144836,1,-3.2651274,37.1901615,1.8056,1.9026,1.79683333333333,1.00487895371487,1.05372175454143,1.05886281421018,0.0539838604953158
144837,1,-3.2625122,37.1901615,1.9645,1.98833333333333,1.98476666666667,0.989788892061199,1.01213200984135,1.00179702064055,0.012008128579346
144838,1,-3.2598971,37.1901615,1.7739,1.9203,1.87693333333333,0.945105491226824,1.08253001860308,1.02310506499964,0.077999573772821
